CCOMP96,CCOMP04,REG96A04,codcomp,personas
301214018,301214800,1,301214018,53
301301021,301301409,1,301301021,1
302001003,302001800,1,302001003,12
302001006,302001802,1,302001006,2
302005008,302005400,1,302005008,11
302015008,302015800,1,302015008,41
302016018,302016018,1,302016018,20
302016019,302016807,1,302016019,116
302016027,302016800,1,302016027,32
302023002,302023800,1,302023002,47
302110001,302110802,1,302110001,40
302110032,302110800,1,302110032,30
302118005,302118005,0,302118005,0
302118006,302118807,1,302118006,64
303001001,303001800,1,303001001,28
303001002,303001802,1,303001002,34
303001016,303001805,1,303001016,5
303001018,303001807,1,303001018,8
303002010,303002400,1,303002010,29
303002011,303002802,1,303002011,29
303002016,303002805,1,303002016,64
303003010,303003802,1,303003010,15
303004002,303004800,1,303004002,16
303005001,303005800,1,303005001,306
303007002,303002807,0,303007002,248
304002003,304002800,1,304002003,10
304006002,304006002,1,304006002,22
304012007,304012805,1,304012007,83
304012013,304012800,1,304012013,33
304018001,304018800,1,304018001,37
304018018,304018810,1,304018018,22
304018020,304018035,1,304018020,1
304018021,304018032,1,304018021,94
304018022,304018027,1,304018022,38
304018024,304018025,1,304018024,170
304022001,304022014,1,304022001,0
304024001,304024805,1,304024001,29
304024003,304024800,1,304024003,25
304027022,304027800,1,304027022,53
304027023,304027802,1,304027023,0
304029018,304029023,1,304029018,3
304030002,304030800,1,304030002,0
304033017,304033800,1,304033017,28
304036005,304036800,1,304036005,27
304037010,304037803,1,304037010,29
304037012,304037800,1,304037012,31
304048009,304048800,1,304048009,90
304048011,304048806,1,304048011,34
304048020,304048804,1,304048020,18
304054103,304245801,1,304054103,9
304128010,304128037,1,304128010,34
304135002,304135012,1,304135002,114
304135004,304135800,1,304135004,21
304138017,304138800,1,304138017,0
304140005,304140037,1,304140005,58
304142025,304142804,1,304142025,31
304142026,304142800,1,304142026,20
304147018,304147800,1,304147018,14
304147019,304147802,1,304147019,58
304157003,304157800,1,304157003,83
304228017,304228801,1,304228017,48
304228032,304228803,1,304228032,60
304231021,304231805,1,304231021,56
304231024,304231044,1,304231024,8
304231030,304231802,1,304231030,24
304235012,304235801,1,304235012,6
304241022,304241804,1,304241022,35
304241029,304241800,1,304241029,22
304241030,304241806,1,304241030,41
304244027,304244800,1,304244027,15
304245022,304245811,1,304245022,1
304245027,304245806,1,304245027,22
304257312,304257800,1,304257312,124
304338052,304338800,1,304338052,28
304342013,304342800,1,304342013,15
304344055,304344800,1,304344055,74
304357106,304235808,1,304357106,24
305001006,305001803,1,305001006,64
305001012,305001800,1,305001012,103
305003012,305003802,1,305003012,4
305003021,305003800,1,305003021,1
305007014,305007800,1,305007014,50
305010002,305010800,1,305010002,30
305011003,305011802,1,305011003,90
305011014,305011800,1,305011014,28
305013013,305013800,1,305013013,34
305112010,305112800,1,305112010,4
305212019,305212813,1,305212019,2
305212024,305212816,1,305212024,59
305212039,305212803,1,305212039,8
306006013,306006800,1,306006013,3
306010009,306010810,1,306010009,35
306011015,306011800,1,306011015,50
306013004,306013800,1,306013004,36
306014017,306014800,1,306014017,26
306015005,306015800,1,306015005,34
306016019,306016800,1,306016019,106
306019001,306019800,1,306019001,16
306019004,306019806,1,306019004,172
306024001,306007803,1,306024001,14
306024004,306009800,1,306024004,54
306025002,306010809,1,306025002,37
306123002,306007800,1,306123002,111
308024002,308024800,1,308024002,4
308024005,308024802,1,308024005,2
308029004,308029800,1,308029004,3
308032002,308032800,1,308032002,6
308032006,308032802,1,308032006,0
308039002,308039800,1,308039002,0
308040002,308040800,1,308040002,1
308040010,308040803,1,308040010,0
308041005,308041810,1,308041005,1
308041009,308041800,1,308041009,8
308041021,308041805,1,308041021,0
308043001,308043800,1,308043001,1
308044017,308044800,1,308044017,1
308045001,308045800,1,308045001,1
308045013,308045802,1,308045013,3
308045014,308045804,1,308045014,1
308048004,308048800,1,308048004,16
308048005,308048801,1,308048005,13
308118002,308118800,1,308118002,0
308118003,308118819,1,308118003,2
308122031,308122800,1,308122031,2
308123005,308123800,1,308123005,11
308218053,308218801,1,308218053,2
308222049,308222800,1,308222049,2
308223038,308223800,1,308223038,0
308223041,308223804,1,308223041,1
309011004,309201801,1,309011004,66
310206003,310206800,1,310206003,30
311012002,311008500,1,311012002,6
311013302,311013800,1,311013302,60
311109011,311109500,1,311109011,54
311109019,311109804,1,311109019,43
311209030,311209032,1,311209030,74
312007003,312007800,1,312007003,22
312103001,312103800,1,312103001,3
312103005,312103804,1,312103005,16
312103011,312103802,1,312103011,15
312203014,312203800,1,312203014,2
313306030,313306800,1,313306030,1
314104001,314104800,1,314104001,124
315003015,315003800,1,315003015,8
315004003,315004808,1,315004003,17
315107003,315107400,1,315107003,134
316001023,316001800,1,316001023,9
316016014,316016500,1,316016014,13
316016016,316016803,1,316016016,34
316019004,316103800,1,316019004,42
