cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
8220,"-34.10300406870569,-56.22187817478847",13220,"-30.91647986120184,-55.569795769247854",822013220,403766
8220,"-34.10300406870569,-56.22187817478847",14320,"-34.47922798203669,-54.326604990723666",822014320,219083
8220,"-34.10300406870569,-56.22187817478847",15120,"-31.39099520425074,-57.938559131114474",822015120,405725
8220,"-34.10300406870569,-56.22187817478847",16220,"-34.338333026427584,-56.71343246500763",822016220,71775
8220,"-34.10300406870569,-56.22187817478847",17220,"-33.255057139215,-58.03061475685623",822017220,237753
8220,"-34.10300406870569,-56.22187817478847",18220,"-31.71656576589131,-55.98227865899393",822018220,293646
8220,"-34.10300406870569,-56.22187817478847",19220,"-33.23222966487474,-54.38252254973986",822019220,229809
9220,"-34.37662152849474,-55.244018002185456",1020,"-34.83459368462574,-56.200727322283996",92201020,114259
9220,"-34.37662152849474,-55.244018002185456",2220,"-30.42583821419782,-56.48691836714405",92202220,568664
9220,"-34.37662152849474,-55.244018002185456",3320,"-34.5248820942228,-56.28134757794109",92203320,108585
9220,"-34.37662152849474,-55.244018002185456",4220,"-32.366965911958815,-54.16797657500114",92204220,277792
9220,"-34.37662152849474,-55.244018002185456",5320,"-34.45055037560706,-57.838919942012616",92205320,261830
9220,"-34.37662152849474,-55.244018002185456",6220,"-33.38250225260489,-56.5226838660229",92206220,197312
9220,"-34.37662152849474,-55.244018002185456",7320,"-33.5214825688165,-56.89958042575091",92207320,219637
9220,"-34.37662152849474,-55.244018002185456",8220,"-34.10300406870569,-56.22187817478847",92208220,109677
9220,"-34.37662152849474,-55.244018002185456",10320,"-34.8972187652653,-54.94737237904476",922010320,71410
9220,"-34.37662152849474,-55.244018002185456",11120,"-32.318768140700776,-58.07902159500193",922011120,402426
9220,"-34.37662152849474,-55.244018002185456",12320,"-33.12672715408673,-58.29894536750416",922012320,376698
9220,"-34.37662152849474,-55.244018002185456",13220,"-30.91647986120184,-55.569795769247854",922013220,483579
9220,"-34.37662152849474,-55.244018002185456",14320,"-34.47922798203669,-54.326604990723666",922014320,109551
9220,"-34.37662152849474,-55.244018002185456",15120,"-31.39099520425074,-57.938559131114474",922015120,514445
