cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
609,6,DURAZNO,9,LAVALLEJA,67,13023942,57084,15594153,58815,202724,16.562406594269497,12.219600727009865
709,7,FLORES,9,LAVALLEJA,5,7284124,25050,15594153,58815,236470,16.562406594269497,12.373576628973705
809,8,FLORIDA,9,LAVALLEJA,163,17767290,67047,15594153,58815,130899,16.562406594269497,11.782181312449406
1009,10,MALDONADO,9,LAVALLEJA,407,51311595,164298,15594153,58815,85327,16.562406594269497,11.354246213289242
1109,11,PAYSANDU,9,LAVALLEJA,37,26828524,113107,15594153,58815,422149,16.562406594269497,12.953113611268593
1209,12,RIO NEGRO,9,LAVALLEJA,15,24297744,54765,15594153,58815,401274,16.562406594269497,12.902399764721743
1309,13,RIVERA,9,LAVALLEJA,49,20212707,103473,15594153,58815,464972,16.562406594269497,13.04973246770273
1409,14,ROCHA,9,LAVALLEJA,130,17547856,68088,15594153,58815,153094,16.562406594269497,11.938807390805975
1509,15,SALTO,9,LAVALLEJA,20,25542275,124861,15594153,58815,543148,16.562406594269497,13.205137121631054
1609,16,SAN JOSE,9,LAVALLEJA,44,26930981,108304,15594153,58815,174449,16.562406594269497,12.06938771429697
1709,17,SORIANO,9,LAVALLEJA,33,22993631,82594,15594153,58815,347001,16.562406594269497,12.757082940769225
1809,18,TACUAREMBO,9,LAVALLEJA,50,18093592,90051,15594153,58815,354035,16.562406594269497,12.777151057285087
1909,19,TREINTA Y TRES,9,LAVALLEJA,172,11720592,48134,15594153,58815,163101,16.562406594269497,12.002124919798158
110,1,MONTEVIDEO,10,MALDONADO,3914,465848031,1318755,51311595,164298,124272,17.753427307993373,11.73022799065943
210,2,ARTIGAS,10,MALDONADO,472,14214980,73377,51311595,164298,658957,17.753427307993373,13.398413560976383
310,3,CANELONES,10,MALDONADO,1345,86306492,520173,51311595,164298,113438,17.753427307993373,11.639011711145091
410,4,CERRO LARGO,10,MALDONADO,810,17048887,84698,51311595,164298,322406,17.753427307993373,12.683566899863274
510,5,COLONIA,10,MALDONADO,309,43788749,123203,51311595,164298,296954,17.753427307993373,12.601332523634476
610,6,DURAZNO,10,MALDONADO,198,13023942,57084,51311595,164298,260638,17.753427307993373,12.470887750387156
710,7,FLORES,10,MALDONADO,79,7284124,25050,51311595,164298,272160,17.753427307993373,12.51414540762969
810,8,FLORIDA,10,MALDONADO,310,17767290,67047,51311595,164298,166590,17.753427307993373,12.023290982903763
910,9,LAVALLEJA,10,MALDONADO,936,15594153,58815,51311595,164298,86435,17.753427307993373,11.367147965356887
1110,11,PAYSANDU,10,MALDONADO,420,26828524,113107,51311595,164298,457840,17.753427307993373,13.034275057082985
1210,12,RIO NEGRO,10,MALDONADO,223,24297744,54765,51311595,164298,424153,17.753427307993373,12.957849518180335
1310,13,RIVERA,10,MALDONADO,227,20212707,103473,51311595,164298,533774,17.753427307993373,13.187727807385276
1410,14,ROCHA,10,MALDONADO,952,17547856,68088,51311595,164298,141481,17.753427307993373,11.859920711431277
1510,15,SALTO,10,MALDONADO,484,25542275,124861,51311595,164298,574428,17.753427307993373,13.261130042046185
1610,16,SAN JOSE,10,MALDONADO,230,26930981,108304,51311595,164298,191221,17.753427307993373,12.16118510620426
1710,17,SORIANO,10,MALDONADO,335,22993631,82594,51311595,164298,366071,17.753427307993373,12.810582582641095
1810,18,TACUAREMBO,10,MALDONADO,363,18093592,90051,51311595,164298,419858,17.753427307993373,12.947671837854376
1910,19,TREINTA Y TRES,10,MALDONADO,776,11720592,48134,51311595,164298,216958,17.753427307993373,12.287459065402594
111,1,MONTEVIDEO,11,PAYSANDU,1075,465848031,1318755,26828524,113107,367994,17.104976207843436,12.815821912670325
211,2,ARTIGAS,11,PAYSANDU,200,14214980,73377,26828524,113107,304617,17.104976207843436,12.626810528785368
311,3,CANELONES,11,PAYSANDU,148,86306492,520173,26828524,113107,359961,17.104976207843436,12.79375097123048
411,4,CERRO LARGO,11,PAYSANDU,61,17048887,84698,26828524,113107,444743,17.104976207843436,13.005251866224905
511,5,COLONIA,11,PAYSANDU,71,43788749,123203,26828524,113107,251002,17.104976207843436,12.433216186209666
611,6,DURAZNO,11,PAYSANDU,59,13023942,57084,26828524,113107,256308,17.104976207843436,12.454135125286806
711,7,FLORES,11,PAYSANDU,30,7284124,25050,26828524,113107,186959,17.104976207843436,12.138644620460736
811,8,FLORIDA,11,PAYSANDU,47,17767290,67047,26828524,113107,311240,17.104976207843436,12.648319597730866
911,9,LAVALLEJA,11,PAYSANDU,28,15594153,58815,26828524,113107,422102,17.104976207843436,12.953002269973059
1011,10,MALDONADO,11,PAYSANDU,95,51311595,164298,26828524,113107,457785,17.104976207843436,13.034154920564069
1211,12,RIO NEGRO,11,PAYSANDU,516,24297744,54765,26828524,113107,78652,17.104976207843436,11.272788337279447
1311,13,RIVERA,11,PAYSANDU,143,20212707,103473,26828524,113107,340541,17.104976207843436,12.73829080848292
1411,14,ROCHA,11,PAYSANDU,32,17547856,68088,26828524,113107,536157,17.104976207843436,13.19218230761081
